#This is for 5 samples per cond
INFO:root:Elapsed time for DESeq2 for random625_625_5_v2 0:04:12.892353
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v3 0:05:03.194629
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v3 0:05:03.534437
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v3 0:04:43.723614
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v3 0:04:19.649574
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v3 0:00:57.105964
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v3 0:01:06.239728
INFO:root:Elapsed time for DESeq2 for single0_0_5_v3 0:04:38.326507
INFO:root:Elapsed time for DESeq2 for random0_0_5_v3 0:04:16.178702
INFO:root:Elapsed time for DESeq2 for random625_625_5_v3 0:04:12.022371
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v4 0:04:50.068611
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v4 0:04:38.310875
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v4 0:05:10.572597
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v4 0:04:56.074125
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v4 0:01:01.830497
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v4 0:00:58.371228
INFO:root:Elapsed time for DESeq2 for single0_0_5_v4 0:04:48.219216
INFO:root:Elapsed time for DESeq2 for random0_0_5_v4 0:04:31.306879
INFO:root:Elapsed time for DESeq2 for random625_625_5_v4 0:05:01.956229
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v5 0:05:02.674969
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v5 0:04:44.639260
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v5 0:04:10.437675
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v5 0:04:52.640624
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v5 0:00:55.418860
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v5 0:01:04.314379
INFO:root:Elapsed time for DESeq2 for single0_0_5_v5 0:04:53.193603
INFO:root:Elapsed time for DESeq2 for random0_0_5_v5 0:05:10.792304
INFO:root:Elapsed time for DESeq2 for random625_625_5_v5 0:04:07.603243
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v6 0:05:00.402685
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v6 0:04:46.432100
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v6 0:05:02.160982
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v6 0:04:23.942265
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v6 0:01:11.149361
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v6 0:00:59.496716
INFO:root:Elapsed time for DESeq2 for single0_0_5_v6 0:04:20.213369
INFO:root:Elapsed time for DESeq2 for random0_0_5_v6 0:04:32.288261
INFO:root:Elapsed time for DESeq2 for random625_625_5_v6 0:04:07.050119
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v7 0:04:47.602921
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v7 0:05:12.912868
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v7 0:04:51.085680
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v7 0:05:43.502091
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v7 0:00:58.377439
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v7 0:01:05.637243
INFO:root:Elapsed time for DESeq2 for single0_0_5_v7 0:04:01.832145
INFO:root:Elapsed time for DESeq2 for random0_0_5_v7 0:04:11.824560
INFO:root:Elapsed time for DESeq2 for random625_625_5_v7 0:04:33.089540
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v8 0:04:11.127285
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v8 0:05:06.357674
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v8 0:05:07.821160
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v8 0:05:04.738854
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v8 0:01:04.370221
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v8 0:01:04.147287
INFO:root:Elapsed time for DESeq2 for single0_0_5_v8 0:04:29.916754
INFO:root:Elapsed time for DESeq2 for random0_0_5_v8 0:04:59.780829
INFO:root:Elapsed time for DESeq2 for random625_625_5_v8 0:04:47.001288
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v9 0:04:31.764891
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v9 0:04:43.297470
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v9 0:05:39.608706
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v9 0:04:10.718699
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v9 0:00:57.396866
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v9 0:00:53.688901
INFO:root:Elapsed time for DESeq2 for single0_0_5_v9 0:04:06.427258
INFO:root:Elapsed time for DESeq2 for random0_0_5_v9 0:04:06.404447
INFO:root:Elapsed time for DESeq2 for random625_625_5_v9 0:04:29.045886
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v10 0:04:35.034016
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v10 0:05:15.186406
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v10 0:05:50.038150
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v10 0:04:35.568837
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v10 0:00:59.668480
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v10 0:01:02.928138
INFO:root:Elapsed time for DESeq2 for single0_0_5_v10 0:04:36.413104
INFO:root:Elapsed time for DESeq2 for random0_0_5_v10 0:04:15.940210
INFO:root:Elapsed time for DESeq2 for random625_625_5_v10 0:03:55.621160
INFO:root:Elapsed time for DESeq2 for single625_625_5_v1 0:04:46.136888
INFO:root:Elapsed time for DESeq2 for single625_625_5_v2 0:04:51.103798
INFO:root:Elapsed time for DESeq2 for single625_625_5_v3 0:04:08.719498
INFO:root:Elapsed time for DESeq2 for single625_625_5_v4 0:04:15.737309
INFO:root:Elapsed time for DESeq2 for single625_625_5_v5 0:04:31.203157
INFO:root:Elapsed time for DESeq2 for single625_625_5_v6 0:06:09.593719
INFO:root:Elapsed time for DESeq2 for single625_625_5_v7 0:03:57.518137
INFO:root:Elapsed time for DESeq2 for single625_625_5_v8 0:04:45.018673
INFO:root:Elapsed time for DESeq2 for single625_625_5_v9 0:04:02.586502
INFO:root:Elapsed time for DESeq2 for single625_625_5_v10 0:03:51.205480

INFO:root:Elapsed time for edgeR for baseline0_0_5_v1 0:00:07.802007
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v1 0:00:08.391167
INFO:root:Elapsed time for edgeR for baseline625_625_5_v1 0:00:07.101081
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v1 0:00:07.507981
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v1 0:00:07.196907
INFO:root:Elapsed time for edgeR for poisson0_0_5_v1 0:00:06.697454
INFO:root:Elapsed time for edgeR for poisson625_625_5_v1 0:00:06.901328
INFO:root:Elapsed time for edgeR for single0_0_5_v1 0:00:07.370067
INFO:root:Elapsed time for edgeR for single625_625_5_v1 0:00:06.629066
INFO:root:Elapsed time for edgeR for random0_0_5_v1 0:00:07.491558
INFO:root:Elapsed time for edgeR for random625_625_5_v1 0:00:07.298102
INFO:root:Elapsed time for edgeR for baseline0_0_5_v2 0:00:08.118154
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v2 0:00:07.593979
INFO:root:Elapsed time for edgeR for baseline625_625_5_v2 0:00:06.973094
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v2 0:00:07.713563
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v2 0:00:07.702661
INFO:root:Elapsed time for edgeR for poisson0_0_5_v2 0:00:07.008003
INFO:root:Elapsed time for edgeR for poisson625_625_5_v2 0:00:06.998911
INFO:root:Elapsed time for edgeR for single0_0_5_v2 0:00:07.900727
INFO:root:Elapsed time for edgeR for single625_625_5_v2 0:00:07.594948
INFO:root:Elapsed time for edgeR for random0_0_5_v2 0:00:07.583418
INFO:root:Elapsed time for edgeR for random625_625_5_v2 0:00:07.617972
INFO:root:Elapsed time for edgeR for baseline0_0_5_v3 0:00:07.499472
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v3 0:00:07.579020
INFO:root:Elapsed time for edgeR for baseline625_625_5_v3 0:00:06.818906
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v3 0:00:07.669227
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v3 0:00:07.137991
INFO:root:Elapsed time for edgeR for poisson0_0_5_v3 0:00:06.495177
INFO:root:Elapsed time for edgeR for poisson625_625_5_v3 0:00:06.089155
INFO:root:Elapsed time for edgeR for single0_0_5_v3 0:00:07.205176
INFO:root:Elapsed time for edgeR for single625_625_5_v3 0:00:07.779518
INFO:root:Elapsed time for edgeR for random0_0_5_v3 0:00:07.733458
INFO:root:Elapsed time for edgeR for random625_625_5_v3 0:00:07.787616
INFO:root:Elapsed time for edgeR for baseline0_0_5_v4 0:00:07.384261
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v4 0:00:08.013519
INFO:root:Elapsed time for edgeR for baseline625_625_5_v4 0:00:07.214239
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v4 0:00:07.587397
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v4 0:00:08.292598
INFO:root:Elapsed time for edgeR for poisson0_0_5_v4 0:00:07.709844
INFO:root:Elapsed time for edgeR for poisson625_625_5_v4 0:00:06.702980
INFO:root:Elapsed time for edgeR for single0_0_5_v4 0:00:07.569851
INFO:root:Elapsed time for edgeR for single625_625_5_v4 0:00:07.819749
INFO:root:Elapsed time for edgeR for random0_0_5_v4 0:00:08.102029
INFO:root:Elapsed time for edgeR for random625_625_5_v4 0:00:07.492850
INFO:root:Elapsed time for edgeR for baseline0_0_5_v5 0:00:07.901079
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v5 0:00:08.003006
INFO:root:Elapsed time for edgeR for baseline625_625_5_v5 0:00:07.598503
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v5 0:00:07.899748
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v5 0:00:07.364962
INFO:root:Elapsed time for edgeR for poisson0_0_5_v5 0:00:06.937661
INFO:root:Elapsed time for edgeR for poisson625_625_5_v5 0:00:07.106107
INFO:root:Elapsed time for edgeR for single0_0_5_v5 0:00:07.896932
INFO:root:Elapsed time for edgeR for single625_625_5_v5 0:00:08.489089
INFO:root:Elapsed time for edgeR for random0_0_5_v5 0:00:08.714930
INFO:root:Elapsed time for edgeR for random625_625_5_v5 0:00:07.593337
INFO:root:Elapsed time for edgeR for baseline0_0_5_v6 0:00:07.762044
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v6 0:00:07.415932
INFO:root:Elapsed time for edgeR for baseline625_625_5_v6 0:00:08.289481
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v6 0:00:07.026507
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v6 0:00:07.674996
INFO:root:Elapsed time for edgeR for poisson0_0_5_v6 0:00:06.619268
INFO:root:Elapsed time for edgeR for poisson625_625_5_v6 0:00:06.289190
INFO:root:Elapsed time for edgeR for single0_0_5_v6 0:00:07.489025
INFO:root:Elapsed time for edgeR for single625_625_5_v6 0:00:07.620381
INFO:root:Elapsed time for edgeR for random0_0_5_v6 0:00:07.912987
INFO:root:Elapsed time for edgeR for random625_625_5_v6 0:00:08.164067
INFO:root:Elapsed time for edgeR for baseline0_0_5_v7 0:00:07.817363
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v7 0:00:08.097177
INFO:root:Elapsed time for edgeR for baseline625_625_5_v7 0:00:07.402024
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v7 0:00:07.715215
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v7 0:00:07.082538
INFO:root:Elapsed time for edgeR for poisson0_0_5_v7 0:00:06.611935
INFO:root:Elapsed time for edgeR for poisson625_625_5_v7 0:00:06.494764
INFO:root:Elapsed time for edgeR for single0_0_5_v7 0:00:07.790939
INFO:root:Elapsed time for edgeR for single625_625_5_v7 0:00:07.309508
INFO:root:Elapsed time for edgeR for random0_0_5_v7 0:00:07.101978
INFO:root:Elapsed time for edgeR for random625_625_5_v7 0:00:08.183485
INFO:root:Elapsed time for edgeR for baseline0_0_5_v8 0:00:07.509652
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v8 0:00:06.795151
INFO:root:Elapsed time for edgeR for baseline625_625_5_v8 0:00:06.980586
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v8 0:00:07.386622
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v8 0:00:07.127615
INFO:root:Elapsed time for edgeR for poisson0_0_5_v8 0:00:07.108093
INFO:root:Elapsed time for edgeR for poisson625_625_5_v8 0:00:07.204100
INFO:root:Elapsed time for edgeR for single0_0_5_v8 0:00:07.491356
INFO:root:Elapsed time for edgeR for single625_625_5_v8 0:00:07.903601
INFO:root:Elapsed time for edgeR for random0_0_5_v8 0:00:08.061797
INFO:root:Elapsed time for edgeR for random625_625_5_v8 0:00:08.731942
INFO:root:Elapsed time for edgeR for baseline0_0_5_v9 0:00:07.396502
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v9 0:00:07.483503
INFO:root:Elapsed time for edgeR for baseline625_625_5_v9 0:00:07.715594
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v9 0:00:07.502164
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v9 0:00:07.689079
INFO:root:Elapsed time for edgeR for poisson0_0_5_v9 0:00:06.305550
INFO:root:Elapsed time for edgeR for poisson625_625_5_v9 0:00:06.391000
INFO:root:Elapsed time for edgeR for single0_0_5_v9 0:00:08.122352
INFO:root:Elapsed time for edgeR for single625_625_5_v9 0:00:07.885535
INFO:root:Elapsed time for edgeR for random0_0_5_v9 0:00:07.794658
INFO:root:Elapsed time for edgeR for random625_625_5_v9 0:00:07.907115
INFO:root:Elapsed time for edgeR for baseline0_0_5_v10 0:00:06.594854
INFO:root:Elapsed time for edgeR for baseline1250_0_5_v10 0:00:06.806262
INFO:root:Elapsed time for edgeR for baseline625_625_5_v10 0:00:07.190719
INFO:root:Elapsed time for edgeR for baseline4000_0_5_v10 0:00:07.474119
INFO:root:Elapsed time for edgeR for baseline2000_2000_5_v10 0:00:07.435930
INFO:root:Elapsed time for edgeR for poisson0_0_5_v10 0:00:06.304646
INFO:root:Elapsed time for edgeR for poisson625_625_5_v10 0:00:06.774688
INFO:root:Elapsed time for edgeR for single0_0_5_v10 0:00:07.717268
INFO:root:Elapsed time for edgeR for single625_625_5_v10 0:00:07.299191
INFO:root:Elapsed time for edgeR for random0_0_5_v10 0:00:08.711278
INFO:root:Elapsed time for edgeR for random625_625_5_v10 0:00:08.365390

INFO:root:Elapsed time for voom.limma for baseline0_0_5_v1 0:00:06.287942
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v1 0:00:06.298591
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v1 0:00:05.999253
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v1 0:00:06.420067
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v1 0:00:06.245260
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v1 0:00:05.932457
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v1 0:00:06.424739
INFO:root:Elapsed time for voom.limma for single0_0_5_v1 0:00:06.541471
INFO:root:Elapsed time for voom.limma for single625_625_5_v1 0:00:06.533447
INFO:root:Elapsed time for voom.limma for random0_0_5_v1 0:00:06.510242
INFO:root:Elapsed time for voom.limma for random625_625_5_v1 0:00:06.404265
INFO:root:Elapsed time for voom.limma for baseline0_0_5_v2 0:00:06.091973
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v2 0:00:06.999448
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v2 0:00:06.260152
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v2 0:00:06.696200
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v2 0:00:06.643160
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v2 0:00:06.297695
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v2 0:00:06.297281
INFO:root:Elapsed time for voom.limma for single0_0_5_v2 0:00:06.507289
INFO:root:Elapsed time for voom.limma for single625_625_5_v2 0:00:06.587132
INFO:root:Elapsed time for voom.limma for random0_0_5_v2 0:00:07.004848
INFO:root:Elapsed time for voom.limma for random625_625_5_v2 0:00:06.416415
INFO:root:Elapsed time for voom.limma for baseline0_0_5_v3 0:00:05.778305
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v3 0:00:06.900979
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v3 0:00:06.505832
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v3 0:00:06.293445
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v3 0:00:05.863830
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v3 0:00:05.502752
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v3 0:00:06.437257
INFO:root:Elapsed time for voom.limma for single0_0_5_v3 0:00:06.489482
INFO:root:Elapsed time for voom.limma for single625_625_5_v3 0:00:06.207665
INFO:root:Elapsed time for voom.limma for random0_0_5_v3 0:00:06.486249
INFO:root:Elapsed time for voom.limma for random625_625_5_v3 0:00:06.705805
INFO:root:Elapsed time for voom.limma for baseline0_0_5_v4 0:00:06.621671
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v4 0:00:06.353987
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v4 0:00:06.832248
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v4 0:00:06.398894
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v4 0:00:06.856058
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v4 0:00:06.530918
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v4 0:00:06.385482
INFO:root:Elapsed time for voom.limma for single0_0_5_v4 0:00:06.519312
INFO:root:Elapsed time for voom.limma for single625_625_5_v4 0:00:06.382694
INFO:root:Elapsed time for voom.limma for random0_0_5_v4 0:00:06.505155
INFO:root:Elapsed time for voom.limma for random625_625_5_v4 0:00:06.108104
INFO:root:Elapsed time for voom.limma for baseline0_0_5_v5 0:00:06.196098
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v5 0:00:06.494819
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v5 0:00:06.220073
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v5 0:00:06.889602
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v5 0:00:06.796700
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v5 0:00:05.593073
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v5 0:00:06.301536
INFO:root:Elapsed time for voom.limma for single0_0_5_v5 0:00:06.404957
INFO:root:Elapsed time for voom.limma for single625_625_5_v5 0:00:06.493875
INFO:root:Elapsed time for voom.limma for random0_0_5_v5 0:00:06.403308
INFO:root:Elapsed time for voom.limma for random625_625_5_v5 0:00:06.589706
INFO:root:Elapsed time for voom.limma for baseline0_0_5_v6 0:00:05.700055
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v6 0:00:06.373493
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v6 0:00:06.600509
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v6 0:00:06.530128
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v6 0:00:06.383145
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v6 0:00:06.019378
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v6 0:00:06.299708
INFO:root:Elapsed time for voom.limma for single0_0_5_v6 0:00:06.492688
INFO:root:Elapsed time for voom.limma for single625_625_5_v6 0:00:06.616969
INFO:root:Elapsed time for voom.limma for random0_0_5_v6 0:00:05.896687
INFO:root:Elapsed time for voom.limma for random625_625_5_v6 0:00:06.989234
INFO:root:Elapsed time for voom.limma for baseline0_0_5_v7 0:00:06.806312
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v7 0:00:06.088663
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v7 0:00:06.209696
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v7 0:00:06.086833
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v7 0:00:06.476700
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v7 0:00:06.355818
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v7 0:00:06.455611
INFO:root:Elapsed time for voom.limma for single0_0_5_v7 0:00:06.616294
INFO:root:Elapsed time for voom.limma for single625_625_5_v7 0:00:06.695592
INFO:root:Elapsed time for voom.limma for random0_0_5_v7 0:00:06.414499
INFO:root:Elapsed time for voom.limma for random625_625_5_v7 0:00:06.957202
INFO:root:Elapsed time for voom.limma for baseline0_0_5_v8 0:00:06.339287
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v8 0:00:06.475596
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v8 0:00:07.002198
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v8 0:00:06.209042
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v8 0:00:06.367879
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v8 0:00:06.842443
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v8 0:00:05.789441
INFO:root:Elapsed time for voom.limma for single0_0_5_v8 0:00:06.573097
INFO:root:Elapsed time for voom.limma for single625_625_5_v8 0:00:06.698475
INFO:root:Elapsed time for voom.limma for random0_0_5_v8 0:00:06.824011
INFO:root:Elapsed time for voom.limma for random625_625_5_v8 0:00:05.985835
INFO:root:Elapsed time for voom.limma for baseline0_0_5_v9 0:00:06.383417
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v9 0:00:06.537512
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v9 0:00:06.983199
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v9 0:00:06.412630
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v9 0:00:06.067182
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v9 0:00:05.922864
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v9 0:00:06.726419
INFO:root:Elapsed time for voom.limma for single0_0_5_v9 0:00:06.883182
INFO:root:Elapsed time for voom.limma for single625_625_5_v9 0:00:06.295458
INFO:root:Elapsed time for voom.limma for random0_0_5_v9 0:00:06.272377
INFO:root:Elapsed time for voom.limma for random625_625_5_v9 0:00:06.702615
INFO:root:Elapsed time for voom.limma for baseline0_0_5_v10 0:00:05.820452
INFO:root:Elapsed time for voom.limma for baseline1250_0_5_v10 0:00:06.604470
INFO:root:Elapsed time for voom.limma for baseline625_625_5_v10 0:00:06.513807
INFO:root:Elapsed time for voom.limma for baseline4000_0_5_v10 0:00:06.199805
INFO:root:Elapsed time for voom.limma for baseline2000_2000_5_v10 0:00:06.166787
INFO:root:Elapsed time for voom.limma for poisson0_0_5_v10 0:00:05.911588
INFO:root:Elapsed time for voom.limma for poisson625_625_5_v10 0:00:06.180782
INFO:root:Elapsed time for voom.limma for single0_0_5_v10 0:00:06.629842
INFO:root:Elapsed time for voom.limma for single625_625_5_v10 0:00:06.691643
INFO:root:Elapsed time for voom.limma for random0_0_5_v10 0:00:06.394980
INFO:root:Elapsed time for voom.limma for random625_625_5_v10 0:00:06.703330

INFO:root:Elapsed time for NOISeq for baseline0_0_5_v1 0:01:30.213816
INFO:root:Elapsed time for NOISeq for baseline1250_0_5_v1 0:01:26.201429
INFO:root:Elapsed time for NOISeq for baseline625_625_5_v1 0:01:38.234570
INFO:root:Elapsed time for NOISeq for baseline4000_0_5_v1 0:01:17.027219
INFO:root:Elapsed time for NOISeq for baseline2000_2000_5_v1 0:01:31.147455
INFO:root:Elapsed time for NOISeq for poisson0_0_5_v1 0:01:12.394114
INFO:root:Elapsed time for NOISeq for poisson625_625_5_v1 0:01:06.591546
INFO:root:Elapsed time for NOISeq for single0_0_5_v1 0:01:31.002399
INFO:root:Elapsed time for NOISeq for single625_625_5_v1 0:01:13.962343
INFO:root:Elapsed time for NOISeq for random0_0_5_v1 0:01:34.538397
INFO:root:Elapsed time for NOISeq for random625_625_5_v1 0:01:14.519375
INFO:root:Elapsed time for ttest for baseline0_0_5_v1 0:00:08.401616
INFO:root:Elapsed time for ttest for baseline1250_0_5_v1 0:00:08.339475
INFO:root:Elapsed time for ttest for baseline625_625_5_v1 0:00:08.835679
INFO:root:Elapsed time for ttest for baseline4000_0_5_v1 0:00:09.045186
INFO:root:Elapsed time for ttest for baseline2000_2000_5_v1 0:00:08.254520
INFO:root:Elapsed time for ttest for poisson0_0_5_v1 0:00:07.962684
INFO:root:Elapsed time for ttest for poisson625_625_5_v1 0:00:08.604752
INFO:root:Elapsed time for ttest for single0_0_5_v1 0:00:08.588787
INFO:root:Elapsed time for ttest for single625_625_5_v1 0:00:08.158379
INFO:root:Elapsed time for ttest for random0_0_5_v1 0:00:08.517570
INFO:root:Elapsed time for ttest for random625_625_5_v1 0:00:07.374374

INFO:root:Elapsed time for NOISeq for baseline0_0_5_v2 0:01:17.502419
